Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,874,4542,0,3,0,852,0,706,6977
BUENOS AIRES,25 de Mayo,Del Valle,6854020,181,0,0,0,10,1,0,0,192
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,0,0,0,0,0,0,0,181,181
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,0,782,0,6,167,0,0,327,1282
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,0,0,0,0,0,0,0,6,6
BUENOS AIRES,25 de Mayo,Ernestina,6854030,66,0,0,0,0,0,0,0,66
BUENOS AIRES,25 de Mayo,Pedernales,6854070,568,0,0,0,0,0,0,7,575
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,0,0,0,0,0,0,0,19,19
BUENOS AIRES,9 de Julio,9 de Julio,6588100,4313,3354,82,6228,83,1,0,831,14892
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,450,0,0,0,60,0,0,0,510
BUENOS AIRES,9 de Julio,Dudignac,6588040,0,0,1,0,0,0,0,463,464
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,199,0,0,2,2,0,0,0,203
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,0,0,0,118,0,0,0,42,160
BUENOS AIRES,9 de Julio,Patricios,6588110,81,0,0,0,0,0,0,0,81
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,780,0,1,1417,1,0,0,283,2482
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0,0,0,390,0,2,0,14,406
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,0,0,0,1202,0,0,0,0,1202
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,0,0,0,208,0,0,0,0,208
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,0,0,0,60,0,0,0,0,60
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,549,0,2,943,0,0,0,313,1807
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,0,0,0,654,6,0,0,57,717
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,0,0,0,0,0,0,0,46,46
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,0,0,0,0,0,0,0,14,14
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,457,0,6,1,0,0,0,8,472
BUENOS AIRES,Alberti,Mechita,6021030,285,0,0,0,0,0,0,0,285
BUENOS AIRES,Almirante Brown,Adrogué,6028010,214,9299,59,11440,2,1,0,26,21041
BUENOS AIRES,Almirante Brown,Burzaco,6028010,142,16627,35,11333,40,2,0,310,28489
BUENOS AIRES,Almirante Brown,Claypole,6028010,5,7652,3,4140,13,0,0,2,11815
BUENOS AIRES,Almirante Brown,Don Orione,6028010,0,5407,0,0,0,0,0,1,5408
BUENOS AIRES,Almirante Brown,Glew,6028010,55,8227,10,11652,12,0,0,54,20010
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,0,7432,1,1410,2,0,0,1,8846
BUENOS AIRES,Almirante Brown,Longchamps,6028010,30,9657,20,14739,24,0,0,1,24471
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,2,5417,3,44,2,0,0,1,5469
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,3,3474,4,4066,4,0,0,1,7552
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,37,10549,15,9925,193,0,0,340,21059
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,26,4296,4,3253,131,0,0,2,7712
BUENOS AIRES,Almirante Brown,San Jose,6028010,3,9378,2,167,0,3,0,1,9554
BUENOS AIRES,Arrecifes,Arrecifes,6077010,906,1153,12,4393,60,1,0,1878,8403
BUENOS AIRES,Arrecifes,Todd,6077020,0,0,0,304,0,0,0,0,304
BUENOS AIRES,Arrecifes,Viña,6077030,50,60,0,0,0,0,0,0,110
BUENOS AIRES,Avellaneda,Avellaneda,6035010,1486,8664,48,5897,68,5,0,80,16248
BUENOS AIRES,Avellaneda,Crucesita,6035010,1,4887,0,2825,2,0,0,0,7715
BUENOS AIRES,Avellaneda,Dock Sud,6035010,11,675,0,2415,12,0,0,26,3139
BUENOS AIRES,Avellaneda,Gerli,6035010,3,5975,0,4534,0,0,0,0,10512
BUENOS AIRES,Avellaneda,Pineyro,6035010,9,5948,1,2403,0,0,0,0,8361
BUENOS AIRES,Avellaneda,Sarandí,6035010,1935,9969,67,11897,4,3,0,1,23876
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,16,8812,2,7111,11,0,0,626,16578
BUENOS AIRES,Avellaneda,Wilde,6035010,2053,12456,66,13337,8,0,0,87,28007
BUENOS AIRES,Ayacucho,Ayacucho,6042010,2053,0,2,0,0,0,0,139,2194
BUENOS AIRES,Ayacucho,La Constancia,6042020,0,0,0,0,0,0,0,10,10
BUENOS AIRES,Ayacucho,Solanet,6042030,0,0,0,0,0,0,0,27,27
