Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,375 Mbps","0,5 Mbps","0,512 Mbps","0,625 Mbps","0,75 Mbps",1 Mbps,"1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,83 Mbps
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10.0,,,2.0,,,,,,,,,,,,,,,386.0,,,,,,,6.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,,,,,,,,,,,,,,,,,,,,,,,,,,1.155,,,,,,,,,,,23.0,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,,,,,,,3.0,,,,,,,,,147.0,,,,,,,,447.0,,122.0,,,1.0,,,,1.045,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,,,,,,,,,,,,,,,,,632.0,,,,,7.0,,28.0,,45.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,,,,,,,,,,,,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,,,,,,,2.0,,,,4.0,,,,,40.0,,,7.0,,,,,116.0,,,,,,,,,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Mechita,6021030,,,,,,,,,,,,,,275.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Almirante Brown,Adrogué,6028010,,1.0,,10.0,1.0,,34.0,24.0,,,8.0,,,2.0,,63.0,7.0,,5.0,12.0,,,,37.0,,385.0,,,,,,,135.0,,,,6.0,,,,,,25.0,,,,,11.557,,,,,,,,,,,,,,639.0,,,,,,,928.0,,,,,,,225.0,,,
BUENOS AIRES,Almirante Brown,Burzaco,6028010,51.0,1.0,,9.0,1.0,,23.0,17.0,,,77.0,,,15.0,,34.0,115.0,,13.0,84.0,,,,30.0,,1.054,,,,,,,60.0,,,,3.0,,,,,,51.0,,,,,11.392,,,,,,,,,,,,,,390.0,,,,,,,4.171,,,,,,,829.0,,,
BUENOS AIRES,Almirante Brown,Claypole,6028010,,,,,,,2.0,7.0,,,,,,2.0,,3.0,,,1.0,40.0,,,,,,429.0,,,,,,,,,,,15.0,,,,,,22.0,,,,,4.113,,,,,,,,,,,,,,107.0,,,,,,,2.325,,,,,,,415.0,,,
BUENOS AIRES,Almirante Brown,Don Orione,6028010,,,,,,,,,,,,,,,,,,,1.0,,,,,,,377.0,,,,,,,,,,,,,,,,,27.0,,,,,3.0,,,,,,,,,,,,,,17.0,,,,,,,2.09,,,,,,,387.0,,,
BUENOS AIRES,Almirante Brown,Glew,6028010,1.0,,,5.0,,,7.0,5.0,,,15.0,,,5.0,,27.0,29.0,,3.0,12.0,,,,16.0,,315.0,,,,,,,8.0,,,,,,,,,,43.0,,,,,11.737,,,,,,,,,,,,,,172.0,,,,,,,2.894,,,,,,,710.0,,,
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,,,,,,,,1.0,,,,,,,,2.0,,,1.0,16.0,,,,3.0,,422.0,,,,,,,,,,,18.0,,,,,,26.0,,,,,1.383,,,,,,,,,,,,,,161.0,,,,,,,1.559,,,,,,,334.0,,,
BUENOS AIRES,Almirante Brown,Longchamps,6028010,1.0,,,1.0,,,3.0,,,,,,,3.0,,21.0,,,5.0,1.0,,,,4.0,,599.0,,,,,,,4.0,,,,1.0,,,,,,26.0,,,,,7.433,,,,,,,,,,,,,,211.0,,,,,,,2.512,,,,,,,612.0,,,
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1.0,,,,,,,3.0,,,,,,,,,,,2.0,32.0,,,,,,136.0,,,,,,,,,,,3.0,,,,,,12.0,,,,,6.0,,,,,,,,,,,,,,88.0,,,,,,,1.652,,,,,,,296.0,,,
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,,,,,,,,,,,,,,,,2.0,,,3.0,,,,,,,278.0,,,,,,,,,,,,,,,,,11.0,,,,,4.094,,,,,,,,,,,,,,21.0,,,,,,,1.334,,,,,,,249.0,,,
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,,,,3.0,,,10.0,29.0,,,,,,99.0,,18.0,339.0,,11.0,59.0,,,,3.0,,635.0,,,,,,,9.0,,,,1.0,,,,,,22.0,,,,,9.969,,,,,,,,,,,,,,155.0,,,,,,,3.107,,,,,,,602.0,,,
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1.0,,,1.0,,,4.0,9.0,,,,,,40.0,,21.0,,,,114.0,,,,,,120.0,,,,,,,1.0,,,,13.0,,,,,,4.0,,,,,3.236,,,,,,,,,,,,,,21.0,,,,,,,1.539,,,,,,,260.0,,,
